YEAR ,TOPIC ,DATE OF TOPIC,TYPE MEDIA,DATE OF MEDIA ,MEDIA NAME ?,TYPE OF POST (CM ONLY) 
2013,AMRLDO,07/14/2013,1,7/19/2013,VIVAROCINHA,News 
2013,AMRLDO,07/14/2013,1,7/18/2013,VIVAROCINHA,News- Protest update 
2013,AMRLDO,07/14/2013,1,7/18/2013,VIVAROCINHA,Solidarity (?) 
2013,AMRLDO,07/14/2013,1,7/24/2013,VIVAROCINHA,News - donations for fam 
2013,AMRLDO,07/14/2013,1,7/30/2013,VIVAROCINHA,News - update about body in Rocinha 
2013,AMRLDO,07/14/2013,1,8/1/2013,VIVAROCINHA,News - protest update 
2013,AMRLDO,07/14/2013,1,8/13/2013,VIVAROCINHA,News - protest update 
2013,AMRLDO,07/14/2013,1,11/1/2013,VIVAROCINHA,News- protest 
2013,AMRLDO,07/14/2013,1,11/2/2013,VIVAROCINHA,News - update about location of body from gov. 
2013,AMRLDO,07/14/2013,1,11/4/2013,VIVAROCINHA,Solidarity (?) 
2013,AMRLDO,07/14/2013,1,7/22/2013,OCUPA,News - post about amarildo 
2013,AMRLDO,07/14/2013,1,7/22/2013,OCUPA ,Photo from Protest 
2013,AMRLDO,07/14/2013,1,7/24/2013,OCUPA ,Post 
2013,AMRLDO,07/14/2013,1,7/27/2013,OCUPA ,Repost of photo 
2013,AMRLDO,07/14/2013,1,8/2/2013,OCUPA ,Photo & quote 
2013,AMRLDO,07/14/2013,1,8/2/2013,OCUPA ,photo from protest 
2013,AMRLDO,07/14/2013,1,8/10/2013,OCUPA ,Sharing event for family 
2013,AMRLDO,07/14/2013,1,8/15/2013,OCUPA ,protest photo 
2013,AMRLDO,07/14/2013,2,7/22/2013,ROW,N/A 
2013,AMRLDO,07/14/2013,2,7/26/2013,ROW ,N/A 
2013,AMRLDO,07/14/2013,2,7/26/2013,AGPB,N/A 
2013,AMRLDO,07/14/2013,2,7/29/2013,AGPB,N/A 
2013,AMRLDO,07/14/2013,3,7/19/2013,FDSP ,N/A 
2013,AMRLDO,07/14/2013,3,8/8/2013,DIA,N/A 
2013,AMRLDO,07/14/2013,3,8/26/2013,UOL ,N/A 
2013,AMRLDO,07/14/2013,3,9/24/2013,RIOT,N/A 
2013,AMRLDO,07/14/2013,3,9/2/2013,DIA,N/A 
2013,AMRLDO,07/14/2013,3,10/13/2013,UOL ,N/A 
2013,AMRLDO,07/14/2013,4,8/3/2013,ELMD,N/A 
2013,AMRLDO,07/14/2013,4,9/14/2013,BBCBZ,N/A 
2013,AMRLDO,07/14/2013,5,6/24/2013,INDP,N/A 
2013,AMRLDO,07/14/2013,5,8/1/2013,ALJ ,N/A 
2013,AMRLDO,07/14/2013,5,8/1/2013,GLBV,N/A 
2013,AMRLDO,07/14/2013,5,8/1/2013,INDP,N/A 
2013,AMRLDO,07/14/2013,5,9/18/2013,BBC,N/A 
2013,AMRLDO,07/14/2013,5,10/3/2013,GRDN,N/A 
2013,AMRLDO,07/14/2013,5,10/4/2013,INDP,N/A 
2013,AMRLDO,07/14/2013,5,10/5/2013,BBC,N/A 
2013,AMRLDO,07/14/2013,1,7/22/2013,VDC ,Post w hashtag 
2013,AMRLDO,07/14/2013,1,7/22/2013,VDC ,Sharing O Globo article 
2013,AMRLDO,07/14/2013,1,7/24/2013,VDC ,Sharing event w amarildo fam 
2013,AMRLDO,07/14/2013,1,7/25/2013,VDC ,Post w hashtag 
2013,AMRLDO,07/14/2013,1,7/25/2013,VDC ,Sharing protest video 
2013,AMRLDO,07/14/2013,1,7/28/2013,VDC ,Update from event with amarildo fam 
2013,AMRLDO,07/14/2013,1,7/29/2013,VDC ,Update about protest 
2013,AMRLDO,07/14/2013,1,7/30/2013,VDC ,Update - protest 
2013,VLAT,N/A ,2,3/6/2013,ROW ,N/A 
2013,VLAT,N/A ,2,3/22/2013,ROW ,N/A 
2013,VLAT,N/A ,2,4/23/2013,ROW ,N/A 
2013,VLAT,N/A ,2,5/16/2013,ROW ,N/A 
2013,VLAT,N/A ,2,8/9/2013,ROW ,N/A 
2013,VLAT,N/A ,2,8/18/2013,ROW ,N/A 
2013,VLAT,N/A ,2,10/4/2013,ROW ,N/A 
2013,VLAT,N/A ,2,10/10/2013,ROW ,N/A 
2013,VLAT,N/A ,2,11/3/2013,ROW ,N/A 
2013,VLAT,N/A ,2,12/20/2013,ROW ,N/A 
2013,VLAT,N/A ,2,3/8/13,AGPB,N/A 
2013,VLAT,N/A ,2,3/15/2013,AGPB,N/A 
2013,VLAT,N/A ,3,5/28/2013,RIOT,N/A 
2013,VLAT,N/A ,3,10/30/2013,G1,N/A 
2013,VLAT,N/A ,5,2/8/2013,ALJ ,N/A 
2013,VLAT,N/A ,5,11/25/2013,NYT,N/A 
2013,VLAT,N/A ,5,8/21/2013,GRDN,N/A 
2013,VLAT,N/A ,5,5/10/2013,HFP,N/A 
2014,JDO ,5/14/2014,1,5/14/2014,MRVV,Repost of article about topic 
2014,JDO ,5/14/2014,1,5/16/2014,OCUPA,Information about Jonathan's assasination 
2014,JDO,5/14/2014,1,5/15/2014,FM,Post about upcoming protest 
2014,JDO,5/14/2014,1,8/22/2014,FM,"Post about violence against black citizens, jonathan speficit "
2014,JDO,5/14/2014,2,6/25/2014,ROW ,N/A 
2014,JDO,5/14/2014,2,9/18/2014,ROW ,N/A 
2014,JDO,5/14/2014,3,5/15/2014,EBC ,N/A 
2014,JDO,5/14/2014,3,5/15/2014,R7 ,N/A 
2014,JDO,5/14/2014,3,5/15/2014,DIA,N/A 
2014,JDO,5/14/2014,5,3/30/2014,NATN ,N/A 
2014,JDO,5/14/2014,5,8/29/2014,GRDN,N/A 
2015,MDP,9/29/2015,1,9/29/2015,MRVV,Sharing police video 
2015,MDP,9/29/2015,1,10/1/2015,CPR,sharing article about MDP 
2015,MDP ,9/29/2015,1,6/1/2015,OCUPA ,update about MDP case 
2015,MDP ,9/29/2015,2,10/6/2015,ROW ,N/A 
2015,MDP ,9/29/2015,3,9/30/2015,G1,N/A 
2015,MDP ,9/29/2015,3,9/29/2015,DIA ,N/A 
2015,MDP ,9/29/2015,3,9/30/2015,FDSP ,N/A 
2015,MDP ,9/29/2015,3,9/30/2015,RIOT ,N/A 
2015,MDP ,9/29/2015,4,9/30/2015,HFPB,N/A 
2015,MDP,9/29/2015,4,9/30/2015,ELP,N/A 
2015,MDP ,9/29/2015,5,9/30/2015,BBC,N/A 
2015,MDP ,9/29/2015,5,10/3/2015,BBC,N/A 
2015,MDP ,9/29/2015,5,9/30/2015,FOX ,N/A 
2015,MDP ,9/29/2015,5,9/30/2015,TLG ,N/A 
2015,MDP ,9/29/2015,5,10/3/2015,GRDN ,N/A 
2015,VLATV,N/A ,3,3/6/2015,G1 ,N/A 
2015,VLATV,N/A ,3,6/21/2015,DIA ,N/A 
2015,VLATV,N/A ,3,3/24/2015,EBC ,N/A 
2015,VLATV,N/A ,3,8/5/2015,ELP ,N/A 
2015,VLATV,N/A ,3,5/14/2015,G1,N/A 
2015,VLATV,N/A ,3,6/9/2015,BZ247,N/A 
2015,VLATV,N/A ,3,5/11/2015,RIOT ,N/A 
2015,VLATV,N/A ,5,4/1/2015,GRDN ,N/A 
2015,VLATV,N/A ,5,12/27/2015,TIME ,N/A 
2015,VLATV,N/A ,5,2/5/2015,REUT ,N/A 
2015,VLATV,N/A ,5,8/10/2015,BBC,N/A 
2015,VLATV,N/A ,5,6/3/2015,GRDN ,N/A 
2015,VLATV,N/A ,5,10/28/2015,GRDN ,N/A 
2015,VLATV,N/A ,5,6/14/2015,SPKS ,N/A 
2017,MEA ,3/30/2017,1,6/30/2017,CPR ,Update Post about Maria Eduarda 
2017,MEA ,3/30/2017,1,3/31/2017,CPR ,Post & Picture 
2017,MEA ,3/30/2017,1,4/2/2017,CPR ,Post about police killings and Maria 
2017,MEA ,3/30/2017,1,3/30/2017,CFA,Post about Maria Eduarda killed at school 
2017,MEA ,3/30/2017,1,3/31/2017,CFA ,Post & photos from community protest 
2017,MEA ,3/30/2017,1,6/28/2017,CFA,Post about remebering Maria 
2017,MEA ,3/30/2017,1,3/31/2017,CFA,"Post about protest happening ""now' "
2017,MEA ,3/30/2017,1,3/31/2017,CFA,Post about police presence at protest 
2017,MEA ,3/30/2017,1,4/4/2017,CFA,Post about demonstration outside prefeitura 
2017,MEA ,3/30/2017,1,4/18/2017,CFA,Post about status of police officer who killed Maria 
2017,MEA ,3/30/2017,1,5/9/2017,CFA,Sharing video made by radio muritao about Maria and acari 
2017,MEA ,3/30/2017,1,6/6/2017,CFA,Post about favela police violence and Maria 
2017,MEA ,3/30/2017,1,5/30/2017,CFA,Sharing news report about Maria 
2017,MEA ,3/30/2017,1,3/30/2017,OCUPA ,Shared original update post from CFA
2017,MEA ,3/30/2017,1,3/31/2017,OCUPA ,Sharing globo article about Maria 
2017,MEA ,3/30/2017,2,5/7/2017,ROW ,N/A 
2017,MEA ,3/30/2017,2,8/10/2017,CC,N/A 
2017,MEA ,3/30/2017,2,7/15/2017,CC,N/A 
2017,MEA ,3/30/2017,2,4/22/2017,CC,N/A 
2017,MEA ,3/30/2017,3,12/22/2017,FDSP,N/A 
2017,MEA ,3/30/2017,3,6/26/2017,FDSP ,N/A 
2017,MEA ,3/30/2017,3,4/19/2017,FDSP ,N/A 
2017,MEA ,3/30/2017,3,4/3/2017,GLBO ,N/A 
2017,MEA ,3/30/2017,3,4/1/2017,GLBO ,N/A 
2017,MEA ,3/30/2017,3,3/31/2017,DIA ,N/A 
2017,MEA ,3/30/2017,3,4/1/2017,ESTD,N/A 
2017,MEA ,3/30/2017,3,3/30/2017,GLBO ,N/A 
2017,MEA ,3/30/2017,3,8/10/2017,VJA,N/A 
2017,MEA ,3/30/2017,3,3/11/2017,GLBO ,N/A 
2017,MEA ,3/30/2017,3,3/31/2017,EBC ,N/A 
2017,MEA ,3/30/2017,3,4/7/2017,ISD ,N/A 
2017,MEA ,3/30/2017,3,4/1/2017,ISD ,N/A 
2017,MEA ,3/30/2017,4,12/22/2017,BBCBZ,N/A 
2017,MEA ,3/30/2017,5,4/1/2017,AGEF ,N/A 
2017,MEA ,3/30/2017,5,4/1/2017,GTIM ,N/A 
2017,MEA ,3/30/2017,5,4/2/2017,TST,N/A 
2017,MEA ,3/30/2017,5,4/1/2017,TLSR,N/A 
2017,MEA ,3/30/2017,5,4/8/2017,AP ,N/A 
2017,MEA ,3/30/2017,5,4/25/2017,WP ,N/A 
2017,MEA ,3/30/2017,5,4/3/2017,NYT,N/A 
2017,MEA ,3/30/2017,5,4/6/2017,WTS,N/A 
2017,MEA ,3/30/2017,5,12/12/2017,YHO,N/A 
2018,MRLL ,3/14/2018,1,3/14/2018,MV ,Post about assasination (first) 
2018,MRLL ,3/14/2018,1,6/13/2018,MV ,Three months later post 
2018,MRLL ,3/14/2018,1,3/17/2018,MV ,"Response denoucning ""fake news"" - cv rumors "
2018,MRLL ,3/14/2018,1,3/18/2018,MV ,Picture with #mariellepresente 
2018,MRLL ,3/14/2018,1,4/14/2018,MV ,"One month later, no answers "
2018,MRLL ,3/14/2018,1,3/17/2018,MV ,Post about upcoming protest 
2018,MRLL ,3/14/2018,1,3/19/2018,MV ,Post about march coming up
2018,MRLL ,3/14/2018,1,3/18/2018,MV ,Post about upcoming protest 
2018,MRLL ,3/14/2018,1,3/20/2018,CPR,Video from protest 
2018,MRLL ,3/14/2018,1,3/15/2018,CPR ,Picture with #mariellepresente 
2018,MRLL ,3/14/2018,1,3/18/2018,CPR,Sharing article about assasination 
2018,MRLL ,3/14/2018,1,4/11/2018,CPR,sharing memorial event 
2018,MRLL ,3/14/2018,1,5/14/2018,CPR ,Post about lack of progress in case/no answers from gov 
2018,MRLL ,3/14/2018,1,4/16/2018,CPR ,Sharing article about lack of progress in case 
2018,MRLL ,3/14/2018,1,7/18/2018,OCUPA ,sharing article about marielle 
2018,MRLL ,3/14/2018,2,3/19/2018,CC ,N/A 
2018,MRLL ,3/14/2018,2,3/21/2018,AGPB ,N/A 
2018,MRLL ,3/14/2018,2,3/21/2018,CC ,N/A 
2018,MRLL ,3/14/2018,2,6/15/2018,AGPB ,N/A 
2018,MRLL ,3/14/2018,2,4/2/2018,CC ,N/A 
2018,MRLL ,3/14/2018,2,3/21/2018,CC ,N/A 
2018,MRLL ,3/14/2018,2,3/19/2018,CC ,N/A 
2018,MRLL ,3/14/2018,2,3/18/2018,CC ,N/A 
2018,MRLL ,3/14/2018,2,3/16/2018,CC ,N/A 
2018,MRLL ,3/14/2018,2,3/21/2018,CC ,N/A 
2018,MRLL ,3/14/2018,2,3/16/2018,CC ,N/A 
2018,MRLL ,3/14/2018,2,3/15/2018,CC ,N/A 
2018,MRLL ,3/14/2018,2,3/14/2018,CC ,N/A 
2018,MRLL ,3/14/2018,3,3/14/2018,GLBO,N/A 
2018,MRLL ,3/14/2018,3,3/15/2018,FDSP ,N/A 
2018,MRLL ,3/14/2018,3,3/18/2018,G1,N/A 
2018,MRLL ,3/14/2018,3,3/15/2018,GLBO ,N/A 
2018,MRLL ,3/14/2018,3,3/26/2018,G1,N/A 
2018,MRLL ,3/14/2018,3,3/22/2018,G1,N/A 
2018,MRLL ,3/14/2018,3,3/15/2018,DIA,N/A 
2018,MRLL ,3/14/2018,3,3/14/2018,GLBO,N/A 
2018,MRLL ,3/14/2018,3,3/15/2018,GLBO ,N/A 
2018,MRLL ,3/14/2018,3,7/18/2018,GLBO,N/A 
2018,MRLL ,3/14/2018,4,3/15/2018,ELP,N/A 
2018,MRLL ,3/14/2018,3,3/17/2018,RIOT ,N/A 
2018,MRLL ,3/14/2018,4,3/18/2018,ELP,N/A 
2018,MRLL ,3/14/2018,4,3/22/2018,BBCBZ,N/A 
2018,MRLL ,3/14/2018,4,3/15/2018,BBCBZ,N/A 
2018,MRLL ,3/14/2018,4,3/26/2018,ELP,N/A 
2018,MRLL ,3/14/2018,4,3/15/2018,BBCBZ,N/A 
2018,MRLL ,3/14/2018,4,3/15/2018,BBCBZ,N/A 
2018,MRLL ,3/14/2018,4,3/15/2018,BBCBZ,N/A 
2018,MRLL ,3/14/2018,4,4/13/2018,ELP,N/A 
2018,MRLL ,3/14/2018,4,4/17/2018,BBCBZ,N/A 
2018,MRLL ,3/14/2018,4,6/21/2018,HFPB,N/A 
2018,MRLL ,3/14/2018,5,3/15/2018,GRDN,N/A 
2018,MRLL ,3/14/2018,5,3/16/2018,TIME ,N/A 
2018,MRLL ,3/14/2018,5,3/16/2018,INTR,N/A 
2018,MRLL ,3/14/2018,5,3/19/2018,GRDN,N/A 
2018,MRLL ,3/14/2018,5,3/16/2018,INDP,N/A 
2018,MRLL ,3/14/2018,5,3/23/2018,TIME ,N/A 
2018,MRLL ,3/14/2018,5,3/15/2018,BBC ,N/A 
2018,MRLL ,3/14/2018,5,3/21/2018,ALJ ,N/A 
2018,MRLL ,3/14/2018,5,3/23/2018,BBC,N/A 
